sample	donor	date	staining	file_name	genotype_id
pelm_130815	pelm	130815	CD14+CD16+CD206	pelm_130815_CD14+CD16+CD206.fcs	HPSI0214i-pelm_3
pelm_130815	pelm	130815	isotype	pelm_130815_isotype.fcs	HPSI0214i-pelm_3
peop_200514	peop	200514	CD14+CD16+CD206	peop_200514_CD14+CD16+CD206.fcs	HPSI0413i-peop_2
peop_200514	peop	200514	isotype	peop_200514_isotype.fcs	HPSI0413i-peop_2
piun_020415	piun	020415	CD14+CD16+CD206	piun_020415_CD14+CD16+CD206.fcs	HPSI0813i-piun_3
piun_020415	piun	020415	isotype	piun_020415_isotype.fcs	HPSI0813i-piun_3
piun_041214	piun	041214	CD14+CD16+CD206	piun_041214_CD14+CD16+CD206.fcs	HPSI0813i-piun_3
piun_041214	piun	041214	isotype	piun_041214_isotype.fcs	HPSI0813i-piun_3
piun_271114	piun	271114	CD14+CD16+CD206	piun_271114_CD14+CD16+CD206.fcs	HPSI0813i-piun_3
piun_271114	piun	271114	isotype	piun_271114_isotype.fcs	HPSI0813i-piun_3
podx_210715	podx	210715	CD14+CD16+CD206	podx_210715_CD14+CD16+CD206.fcs	HPSI1113i-podx_1
podx_210715	podx	210715	isotype	podx_210715_isotype.fcs	HPSI1113i-podx_1
qanu_160614	qanu	160614	CD14+CD16+CD206	qanu_160614_CD14+CD16+CD206.fcs	HPSI0613i-qanu_2
qanu_160614	qanu	160614	isotype	qanu_160614_isotype.fcs	HPSI0613i-qanu_2
qanu_200614	qanu	200614	CD14+CD16+CD206	qanu_200614_CD14+CD16+CD206.fcs	HPSI0613i-qanu_2
qanu_200614	qanu	200614	isotype	qanu_200614_isotype.fcs	HPSI0613i-qanu_2
qaqx_271115	qaqx	271115	CD14+CD16+CD206	qaqx_271115_CD14+CD16+CD206.fcs	HPSI0314i-qaqx_1
qaqx_271115	qaqx	271115	isotype	qaqx_271115_isotype.fcs	HPSI0314i-qaqx_1
qimz_010714	qimz	010714	CD14+CD16+CD206	qimz_010714_CD14+CD16+CD206.fcs	HPSI0713i-qimz_1
qimz_010714	qimz	010714	isotype	qimz_010714_isotype.fcs	HPSI0713i-qimz_1
qolg_171115	qolg	171115	CD14+CD16+CD206	qolg_171115_CD14+CD16+CD206.fcs	HPSI1113i-qolg_3
qolg_171115	qolg	171115	isotype	qolg_171115_isotype.fcs	HPSI1113i-qolg_3
qony_050815	qony	050815	CD14+CD16+CD206	qony_050815_CD14+CD16+CD206.fcs	HPSI0613i-qony_1
qony_050815	qony	050815	isotype	qony_050815_isotype.fcs	HPSI0613i-qony_1
qony_300715	qony	300715	CD14+CD16+CD206	qony_300715_CD14+CD16+CD206.fcs	HPSI0613i-qony_1
qony_300715	qony	300715	isotype	qony_300715_isotype.fcs	HPSI0613i-qony_1
riiv_211114	riiv	211114	CD14+CD16+CD206	riiv_211114_CD14+CD16+CD206.fcs	HPSI0613i-riiv_1
riiv_211114	riiv	211114	isotype	riiv_211114_isotype.fcs	HPSI0613i-riiv_1
rozh_210715	rozh	210715	CD14+CD16+CD206	rozh_210715_CD14+CD16+CD206.fcs	HPSI0114i-rozh_5
rozh_210715	rozh	210715	isotype	rozh_210715_isotype.fcs	HPSI0114i-rozh_5
rozh_270715	rozh	270715	CD14+CD16+CD206	rozh_270715_CD14+CD16+CD206.fcs	HPSI0114i-rozh_5
rozh_270715	rozh	270715	isotype	rozh_270715_isotype.fcs	HPSI0114i-rozh_5
rozh_300715	rozh	300715	CD14+CD16+CD206	rozh_300715_CD14+CD16+CD206.fcs	HPSI0114i-rozh_5
rozh_300715	rozh	300715	isotype	rozh_300715_isotype.fcs	HPSI0114i-rozh_5
ruyv_280415	ruyv	280415	CD14+CD16+CD206	ruyv_280415_CD14+CD16+CD206.fcs	HPSI0713i-ruyv_1
ruyv_280415	ruyv	280415	isotype	ruyv_280415_isotype.fcs	HPSI0713i-ruyv_1
sebz_140515	sebz	140515	CD14+CD16+CD206	sebz_140515_CD14+CD16+CD206.fcs	HPSI1013i-sebz_1
sebz_140515	sebz	140515	isotype	sebz_140515_isotype.fcs	HPSI1013i-sebz_1
sojd_201015	sojd	201015	CD14+CD16+CD206	sojd_201015_CD14+CD16+CD206.fcs	HPSI0314i-sojd_3
sojd_201015	sojd	201015	isotype	sojd_201015_isotype.fcs	HPSI0314i-sojd_3
sukz_050515	sukz	050515	CD14+CD16+CD206	sukz_050515_CD14+CD16+CD206.fcs	HPSI0413i-sukz_1
sukz_050515	sukz	050515	isotype	sukz_050515_isotype.fcs	HPSI0413i-sukz_1
uahf_211114	uahf	211114	CD14+CD16+CD206	uahf_211114_CD14+CD16+CD206.fcs	HPSI0413i-uahf_3
uahf_211114	uahf	211114	isotype	uahf_211114_isotype.fcs	HPSI0413i-uahf_3
uimo_130415	uimo	130415	CD14+CD16+CD206	uimo_130415_CD14+CD16+CD206.fcs	HPSI0713i-uimo_1
uimo_130415	uimo	130415	isotype	uimo_130415_isotype.fcs	HPSI0713i-uimo_1
vabj_031115	vabj	031115	CD14+CD16+CD206	vabj_031115_CD14+CD16+CD206.fcs	HPSI0114i-vabj_3
vabj_031115	vabj	031115	isotype	vabj_031115_isotype.fcs	HPSI0114i-vabj_3
vass_230415	vass	230415	CD14+CD16+CD206	vass_230415_CD14+CD16+CD206.fcs	HPSI0114i-vass_1
vass_230415	vass	230415	isotype	vass_230415_isotype.fcs	HPSI0114i-vass_1
veqz_050515	veqz	050515	CD14+CD16+CD206	veqz_050515_CD14+CD16+CD206.fcs	HPSI0513i-veqz_6
veqz_050515	veqz	050515	isotype	veqz_050515_isotype.fcs	HPSI0513i-veqz_6
voas_211114	voas	211114	CD14+CD16+CD206	voas_211114_CD14+CD16+CD206.fcs	HPSI0813i-voas_2
voas_211114	voas	211114	isotype	voas_211114_isotype.fcs	HPSI0813i-voas_2
vorx_111114	vorx	111114	CD14+CD16+CD206	vorx_111114_CD14+CD16+CD206.fcs	HPSI0613i-vorx_1
vorx_111114	vorx	111114	isotype	vorx_111114_isotype.fcs	HPSI0613i-vorx_1
wibj_230415	wibj	230415	CD14+CD16+CD206	wibj_230415_CD14+CD16+CD206.fcs	HPSI0214i-wibj_2
wibj_230415	wibj	230415	isotype	wibj_230415_isotype.fcs	HPSI0214i-wibj_2
xavk_280415	xavk	280415	CD14+CD16+CD206	xavk_280415_CD14+CD16+CD206.fcs	HPSI0613i-xavk_3
xavk_280415	xavk	280415	isotype	xavk_280415_isotype.fcs	HPSI0613i-xavk_3
xucm_140515	xucm	140515	CD14+CD16+CD206	xucm_140515_CD14+CD16+CD206.fcs	HPSI0613i-xucm_3
xucm_140515	xucm	140515	isotype	xucm_140515_isotype.fcs	HPSI0613i-xucm_3
xugn_210715	xugn	210715	CD14+CD16+CD206	xugn_210715_CD14+CD16+CD206.fcs	HPSI0314i-xugn_1
xugn_210715	xugn	210715	isotype	xugn_210715_isotype.fcs	HPSI0314i-xugn_1
yemz_230415	yemz	230415	CD14+CD16+CD206	yemz_230415_CD14+CD16+CD206.fcs	HPSI1013i-yemz_1
yemz_230415	yemz	230415	isotype	yemz_230415_isotype.fcs	HPSI1013i-yemz_1
yemz_280415	yemz	280415	CD14+CD16+CD206	yemz_280415_CD14+CD16+CD206.fcs	HPSI1013i-yemz_1
yemz_280415	yemz	280415	isotype	yemz_280415_isotype.fcs	HPSI1013i-yemz_1
yuze_280814	yuze	280814	CD14+CD16+CD206	yuze_280814_CD14+CD16+CD206.fcs	HPSI0413i-yuze_1
yuze_280814	yuze	280814	isotype	yuze_280814_isotype.fcs	HPSI0413i-yuze_1
zaui_271115	zaui	271115	CD14+CD16+CD206	zaui_271115_CD14+CD16+CD206.fcs	HPSI0513i-zaui_3
zaui_271115	zaui	271115	isotype	zaui_271115_isotype.fcs	HPSI0513i-zaui_3
zisa_010714	zisa	010714	CD14+CD16+CD206	zisa_010714_CD14+CD16+CD206.fcs	HPSI0613i-zisa_3
zisa_010714	zisa	010714	isotype	zisa_010714_isotype.fcs	HPSI0613i-zisa_3
